"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 10 11:50:29 IRK 2025","Wed Dec 10 11:50:30 IRK 2025","286","tests","test_user_registration","TestUserRegistration","","","Регистрация без обязательного поля email","Регистрация без заполнения обязательного поля email"
"passed","Wed Dec 10 11:50:28 IRK 2025","Wed Dec 10 11:50:29 IRK 2025","289","tests","test_user_login","TestUserLogin","","","Логин с неверным email","Логин с неверным email"
"passed","Wed Dec 10 11:50:27 IRK 2025","Wed Dec 10 11:50:28 IRK 2025","465","tests","test_user_login","TestUserLogin","","","Успешный логин пользователя","Логин под существующим пользователем"
"passed","Wed Dec 10 11:50:26 IRK 2025","Wed Dec 10 11:50:27 IRK 2025","315","tests","test_order_creation","TestOrderCreation","","","Создание заказа без авторизации",""
"passed","Wed Dec 10 11:50:29 IRK 2025","Wed Dec 10 11:50:29 IRK 2025","397","tests","test_user_registration","TestUserRegistration","","","Регистрация существующего пользователя","Регистрация пользователя, который уже зарегистрирован"
"passed","Wed Dec 10 11:50:28 IRK 2025","Wed Dec 10 11:50:28 IRK 2025","470","tests","test_user_login","TestUserLogin","","","Логин с неверным паролем","Логин с неверным паролем"
"passed","Wed Dec 10 11:50:27 IRK 2025","Wed Dec 10 11:50:27 IRK 2025","388","tests","test_order_creation","TestOrderCreation","","","Создание заказа с неверным хешем ингредиентов",""
"passed","Wed Dec 10 11:50:30 IRK 2025","Wed Dec 10 11:50:30 IRK 2025","289","tests","test_user_registration","TestUserRegistration","","","Регистрация без обязательного поля name","Регистрация без заполнения обязательного поля name"
"passed","Wed Dec 10 11:50:29 IRK 2025","Wed Dec 10 11:50:29 IRK 2025","367","tests","test_user_registration","TestUserRegistration","","","Успешная регистрация пользователя","Регистрация уникального пользователя"
"passed","Wed Dec 10 11:50:23 IRK 2025","Wed Dec 10 11:50:26 IRK 2025","3405","tests","test_order_creation","TestOrderCreation","","","Создание заказа с авторизацией",""
"passed","Wed Dec 10 11:50:30 IRK 2025","Wed Dec 10 11:50:30 IRK 2025","290","tests","test_user_registration","TestUserRegistration","","","Регистрация без обязательного поля password","Регистрация без заполнения обязательного поля password"
"passed","Wed Dec 10 11:50:27 IRK 2025","Wed Dec 10 11:50:27 IRK 2025","393","tests","test_order_creation","TestOrderCreation","","","Создание заказа без ингредиентов",""
